name,band,duration,genre
Morning Dew,Dawn Chorus,215,COUNTRY
Neon Flicker,Synthetic Glow,230,ELECTRONICA
Concrete Jungle,Metro Streets,205,HIPHOP
Midnight Breeze,Night Whispers,225,JAZZ
Ocean Depths,Blue Horizon,195,BLUES
Moonlit Sonata,Lunar Echoes,185,CLASICA
Storm Surge,Thunder Clash,240,ROCK
Summer Glow,Sunshine Days,200,POP
Digital Fantasy,Cyber Waves,250,ELECTRONICA
Rhythm Streets,City Beats,215,HIPHOP
Jazz Odyssey,Smooth Journey,225,JAZZ
Country Horizon,Open Plains,190,COUNTRY
Shadow Waltz,Mystic Shadows,210,CLASICA
Rock Anthem,The Thunder,245,ROCK
Pop Pulse,Rhythm Wave,185,POP
Electric Vibes,Synth City,235,ELECTRONICA
Metro Groove,Urban Legends,220,HIPHOP
Blue Lagoon,Breezy Tunes,200,BLUES
Classic Whisper,Timeless Night,180,CLASICA
Rolling Thunder,Country Roads,210,COUNTRY
Fire Blaze,Fury Path,250,ROCK
Golden Rays,Sunset Glow,195,POP
Digital Rush,Neon Beat,240,ELECTRONICA
Street Lights,City Nights,215,HIPHOP
Jazz Nights,Midnight Soul,225,JAZZ
Country Trail,Wild Hills,200,COUNTRY
Silent Dream,Peaceful Night,185,CLASICA
